ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
865,-2165,402,333,
840,-2177,376,334,
816,-2072,380,335,
814,-2118,389,336,
884,-2259,273,337,
763,-2251,274,338,
763,-2186,382,339,
802,-2082,397,340,
758,-2153,319,341,
728,-2259,287,342,
672,-2261,340,343,
804,-2306,315,344,
847,-2331,270,345,
747,-2319,338,346,
729,-2245,368,347,
780,-2230,300,348,
850,-2324,236,349,
815,-2322,283,350,
750,-2272,363,351,
808,-2223,302,352,
887,-2229,160,353,
841,-2259,107,354,
828,-2162,234,355,
871,-2157,301,356,
976,-2207,320,357,
911,-2216,393,358,
789,-2198,451,359,
851,-2139,495,360,
872,-2265,414,361,
899,-2334,312,362,
858,-2265,334,363,
885,-2147,485,364,
915,-2176,461,365,
882,-2270,361,366,
888,-2141,339,367,
835,-2153,304,368,
890,-2143,321,369,
897,-2148,290,370,
912,-2163,370,371,
1013,-2076,375,372,
875,-2138,401,373,
761,-2249,457,374,
761,-2320,279,375,
698,-2288,198,376,
756,-2253,193,377,
754,-2240,211,378,
764,-2225,235,379,
811,-2215,265,380,
733,-2279,305,381,
771,-2314,298,382,
715,-2311,353,383,
701,-2266,392,384,
818,-2185,377,385,
797,-2228,367,386,
848,-2186,380,387,
945,-2192,366,388,
1002,-2323,336,389,
1025,-2395,317,390,
986,-2385,329,391,
918,-2353,410,392,
863,-2303,404,393,
876,-2211,355,394,
986,-2187,355,395,
1043,-2269,358,396,
989,-2366,415,397,
1005,-2445,435,398,
945,-2397,441,399,
872,-2274,498,400,
887,-2309,507,401,
854,-2290,489,402,
936,-2248,431,403,
907,-2224,362,404,
742,-2194,287,405,
835,-2182,207,406,
876,-2115,217,407,
839,-2163,220,408,
860,-2203,185,409,
822,-2184,232,410,
825,-2212,268,411,
830,-2247,246,412,
821,-2229,282,413,
812,-2247,361,414,
796,-2276,431,415,
759,-2275,447,416,
761,-2267,455,417,
727,-2228,411,418,
739,-2245,309,419,
714,-2222,291,420,
727,-2231,286,421,
881,-2251,288,422,
913,-2225,329,423,
995,-2213,387,424,
891,-2270,382,425,
837,-2328,277,426,
865,-2324,234,427,
749,-2350,295,428,
806,-2291,353,429,
842,-2276,407,430,
860,-2290,433,431,
825,-2282,403,432,
752,-2180,397,433,
728,-2101,383,434,
746,-2148,343,435,
772,-2096,309,436,
748,-2112,293,437,
732,-2128,271,438,
756,-2203,210,439,
851,-2270,162,440,
818,-2249,213,441,
845,-2252,333,442,
897,-2219,410,443,
831,-2277,439,444,
833,-2237,389,445,
795,-2132,365,446,
839,-2107,428,447,
805,-2141,472,448,
823,-2250,510,449,
890,-2292,524,450,
798,-2231,508,451,
842,-2178,483,452,
820,-2154,454,453,
893,-2089,370,454,
1036,-2104,310,455,
1001,-2132,314,456,
1003,-2181,275,457,
965,-2265,289,458,
913,-2245,274,459,
927,-2231,249,460,
903,-2186,263,461,
897,-2210,225,462,
935,-2262,220,463,
922,-2302,241,464,
879,-2297,347,465,
822,-2251,447,466,
822,-2385,455,467,
832,-2434,451,468,
761,-2439,386,469,
701,-2424,339,470,
741,-2327,359,471,
821,-2317,382,472,
793,-2285,374,473,
827,-2277,335,474,
882,-2245,324,475,
806,-2217,350,476,
879,-2282,372,477,
945,-2293,388,478,
906,-2281,414,479,
904,-2240,454,480,
850,-2172,414,481,
941,-2215,278,482,
1035,-2191,246,483,
971,-2089,345,484,
972,-2093,390,485,
955,-2144,345,486,
912,-2194,295,487,
876,-2215,286,488,
812,-2178,291,489,
806,-2150,299,490,
768,-2285,306,491,
768,-2381,249,492,
798,-2348,205,493,
789,-2378,230,494,
795,-2345,294,495,
794,-2310,331,496,
820,-2291,343,497,
795,-2213,416,498,
815,-2283,389,499,
847,-2309,383,500,
846,-2244,461,501,
855,-2322,413,502,
861,-2400,354,503,
944,-2382,329,504,
942,-2363,280,505,
862,-2353,236,506,
830,-2228,304,507,
801,-2242,351,508,
822,-2354,295,509,
877,-2216,313,510,
817,-2107,358,511,
712,-2055,427,512,
746,-2032,465,513,
769,-2150,390,514,
729,-2149,369,515,
767,-2074,437,516,
742,-2155,375,517,
720,-2226,288,518,
765,-2258,261,519,
795,-2268,246,520,
814,-2204,310,521,
824,-2209,297,522,
857,-2196,254,523,
918,-2210,258,524,
940,-2191,317,525,
861,-2212,368,526,
905,-2292,337,527,
934,-2211,306,528,
870,-2196,293,529,
819,-2083,352,530,
781,-2086,368,531,
833,-2156,349,532,
844,-2128,345,533,
904,-2173,329,534,
884,-2139,354,535,
833,-2170,371,536,
836,-2180,352,537,
781,-2194,326,538,
817,-2212,286,539,
849,-2242,264,540,
877,-2231,287,541,
926,-2245,277,542,
979,-2273,314,543,
922,-2253,404,544,
876,-2260,500,545,
872,-2186,543,546,
847,-2275,512,547,
854,-2290,531,548,
771,-2249,534,549,
848,-2291,481,550,
806,-2355,355,551,
760,-2417,254,552,
791,-2263,257,553,
726,-2235,251,554,
867,-2349,201,555,
824,-2430,154,556,
777,-2430,147,557,
745,-2292,206,558,
701,-2295,269,559,
816,-2361,282,560,
845,-2331,355,561,
872,-2247,359,562,
839,-2148,334,563,
863,-2189,335,564,
916,-2221,320,565,
907,-2151,419,566,
918,-2173,437,567,
964,-2262,371,568,
995,-2320,294,569,
990,-2246,330,570,
1000,-2182,395,571,
1002,-2298,322,572,
1072,-2383,319,573,
1041,-2394,308,574,
994,-2310,355,575,
972,-2280,429,576,
928,-2332,417,577,
